Data,estacao,precipitacao,temperatura,umidade,velocidade_vento,radiacao,iri
2024-09-30,;GOIANIA,,,38.0,2.6,,
2024-09-30,;GOIANIA,,,42.0,1.9,,
2024-09-30,;GOIANIA,,,51.0,0.1,,
2024-09-30,;GOIANIA,,,49.0,0.7,,
2024-09-30,;GOIANIA,,,47.0,1.1,,
2024-09-30,;GOIANIA,,,52.0,0.6,,
2024-09-30,;GOIANIA,,,45.0,1.1,,
2024-09-30,;GOIANIA,,,45.0,1.9,,
2024-09-30,;GOIANIA,,,46.0,1.8,,
2024-09-30,;GOIANIA,,,50.0,,,
2024-09-30,;GOIANIA,,,48.0,2.0,,
2024-09-30,;GOIANIA,,,44.0,2.8,,
2024-09-30,;GOIANIA,,,38.0,3.6,,
2024-09-30,;GOIANIA,,,34.0,4.4,,
2024-09-30,;GOIANIA,,,31.0,3.3,,
2024-09-30,;GOIANIA,,,27.0,3.7,,
2024-09-30,;GOIANIA,,,23.0,2.9,,
2024-09-30,;GOIANIA,,,21.0,3.5,,
2024-09-30,;GOIANIA,,,20.0,2.6,,
2024-09-30,;GOIANIA,,,20.0,1.9,,
2024-09-30,;GOIANIA,,,19.0,2.2,,
2024-09-30,;GOIANIA,,,22.0,1.1,,
2024-09-30,;GOIANIA,,,20.0,1.1,,
2024-09-30,;GOIANIA,,,21.0,1.5,,
2024-10-01,;GOIANIA,,,23.0,1.5,,
2024-10-01,;GOIANIA,,,27.0,0.8,,
2024-10-01,;GOIANIA,,,27.0,1.6,,
2024-10-01,;GOIANIA,,,27.0,0.9,,
2024-10-01,;GOIANIA,,,44.0,0.3,,
2024-10-01,;GOIANIA,,,35.0,0.3,,
2024-10-01,;GOIANIA,,,34.0,0.5,,
2024-10-01,;GOIANIA,,,42.0,0.2,,
2024-10-01,;GOIANIA,,,49.0,0.0,,
2024-10-01,;GOIANIA,,,53.0,0.1,,
2024-10-01,;GOIANIA,,,43.0,1.3,,
2024-10-01,;GOIANIA,,,31.0,0.6,,
2024-10-01,;GOIANIA,,,20.0,2.7,,
2024-10-01,;GOIANIA,,,20.0,2.5,,
2024-10-01,;GOIANIA,,,17.0,2.8,,
2024-10-01,;GOIANIA,,,16.0,1.9,,
2024-10-01,;GOIANIA,,,15.0,2.9,,
2024-10-01,;GOIANIA,,,14.0,2.5,,
2024-10-01,;GOIANIA,,,14.0,2.0,,
2024-10-01,;GOIANIA,,,14.0,1.5,,
2024-10-01,;GOIANIA,,,15.0,0.9,,
2024-10-01,;GOIANIA,,,18.0,1.0,,
2024-10-01,;GOIANIA,,,22.0,1.3,,
2024-10-01,;GOIANIA,,,28.0,0.2,,
2024-10-02,;GOIANIA,,,34.0,0.0,,
2024-10-02,;GOIANIA,,,35.0,0.3,,
2024-10-02,;GOIANIA,,,34.0,0.8,,
2024-10-02,;GOIANIA,,,38.0,0.3,,
2024-10-02,;GOIANIA,,,40.0,0.5,,
2024-10-02,;GOIANIA,,,41.0,0.2,,
2024-10-02,;GOIANIA,,,45.0,0.0,,
2024-10-02,;GOIANIA,,,52.0,0.2,,
2024-10-02,;GOIANIA,,,59.0,0.1,,
2024-10-02,;GOIANIA,,,60.0,0.2,,
2024-10-02,;GOIANIA,,,51.0,0.0,,
2024-10-02,;GOIANIA,,,37.0,0.6,,
2024-10-02,;GOIANIA,,,25.0,0.8,,
2024-10-02,;GOIANIA,,,16.0,1.2,,
2024-10-02,;GOIANIA,,,15.0,1.6,,
2024-10-02,;GOIANIA,,,13.0,1.3,,
2024-10-02,;GOIANIA,,,13.0,1.9,,
2024-10-02,;GOIANIA,,,12.0,1.3,,
2024-10-02,;GOIANIA,,,13.0,2.1,,
2024-10-02,;GOIANIA,,,12.0,2.3,,
2024-10-02,;GOIANIA,,,14.0,1.3,,
2024-10-02,;GOIANIA,,,19.0,0.1,,
2024-10-02,;GOIANIA,,,22.0,0.1,,
2024-10-02,;GOIANIA,,,26.0,0.0,,
2024-10-03,;GOIANIA,,,35.0,0.2,,
2024-10-03,;GOIANIA,,,39.0,0.1,,
2024-10-03,;GOIANIA,,,45.0,0.1,,
2024-10-03,;GOIANIA,,,41.0,0.9,,
2024-10-03,;GOIANIA,,,50.0,0.0,,
2024-10-03,;GOIANIA,,,53.0,0.3,,
2024-10-03,;GOIANIA,,,54.0,0.6,,
2024-10-03,;GOIANIA,,,48.0,0.1,,
2024-10-03,;GOIANIA,,,54.0,1.3,,
2024-10-03,;GOIANIA,,,61.0,0.0,,
2024-10-03,;GOIANIA,,,59.0,0.9,,
2024-10-03,;GOIANIA,,,33.0,0.8,,
2024-10-03,;GOIANIA,,,26.0,0.6,,
2024-10-03,;GOIANIA,,,20.0,1.6,,
2024-10-03,;GOIANIA,,,16.0,1.4,,
2024-10-03,;GOIANIA,,,14.0,1.7,,
2024-10-03,;GOIANIA,,,12.0,2.7,,
2024-10-03,;GOIANIA,,,12.0,2.3,,
2024-10-03,;GOIANIA,,,13.0,1.1,,
2024-10-03,;GOIANIA,,,14.0,1.1,,
2024-10-03,;GOIANIA,,,16.0,0.0,,
2024-10-03,;GOIANIA,,,23.0,0.0,,
2024-10-03,;GOIANIA,,,26.0,0.2,,
2024-10-03,;GOIANIA,,,25.0,0.4,,
2024-10-04,;GOIANIA,,,35.0,0.0,,
2024-10-04,;GOIANIA,,,43.0,1.3,,
2024-10-04,;GOIANIA,,,50.0,0.4,,
2024-10-04,;GOIANIA,,,42.0,0.5,,
2024-10-04,;GOIANIA,,,49.0,0.5,,
2024-10-04,;GOIANIA,,,53.0,0.1,,
2024-10-04,;GOIANIA,,,58.0,0.1,,
2024-10-04,;GOIANIA,,,60.0,0.4,,
2024-10-04,;GOIANIA,,,66.0,0.0,,
2024-10-04,;GOIANIA,,,64.0,0.0,,
2024-10-04,;GOIANIA,,,61.0,0.2,,
2024-10-04,;GOIANIA,,,42.0,1.0,,
2024-10-04,;GOIANIA,,,26.0,1.5,,
2024-10-04,;GOIANIA,,,20.0,1.1,,
2024-10-04,;GOIANIA,,,14.0,1.5,,
2024-10-04,;GOIANIA,,,13.0,1.3,,
2024-10-04,;GOIANIA,,,12.0,1.0,,
2024-10-04,;GOIANIA,,,11.0,1.8,,
2024-10-04,;GOIANIA,,,11.0,2.5,,
2024-10-04,;GOIANIA,,,12.0,1.4,,
2024-10-04,;GOIANIA,,,18.0,0.0,,
2024-10-04,;GOIANIA,,,20.0,0.6,,
2024-10-04,;GOIANIA,,,23.0,0.1,,
2024-10-04,;GOIANIA,,,31.0,0.3,,
2024-10-05,;GOIANIA,,,35.0,0.4,,
2024-10-05,;GOIANIA,,,38.0,0.2,,
2024-10-05,;GOIANIA,,,44.0,0.4,,
2024-10-05,;GOIANIA,,,46.0,0.3,,
2024-10-05,;GOIANIA,,,45.0,0.3,,
2024-10-05,;GOIANIA,,,41.0,0.9,,
2024-10-05,;GOIANIA,,,42.0,0.4,,
2024-10-05,;GOIANIA,,,49.0,0.3,,
2024-10-05,;GOIANIA,,,51.0,0.0,,
2024-10-05,;GOIANIA,,,53.0,0.5,,
2024-10-05,;GOIANIA,,,47.0,1.0,,
2024-10-05,;GOIANIA,,,40.0,1.6,,
2024-10-05,;GOIANIA,,,27.0,1.9,,
2024-10-05,;GOIANIA,,,22.0,1.0,,
2024-10-05,;GOIANIA,,,18.0,1.2,,
2024-10-05,;GOIANIA,,,18.0,1.8,,
2024-10-05,;GOIANIA,,,16.0,0.7,,
2024-10-05,;GOIANIA,,,13.0,1.0,,
2024-10-05,;GOIANIA,,,13.0,1.5,,
2024-10-05,;GOIANIA,,,14.0,0.8,,
2024-10-05,;GOIANIA,,,15.0,1.3,,
2024-10-05,;GOIANIA,,,20.0,0.4,,
2024-10-05,;GOIANIA,,,24.0,0.7,,
2024-10-05,;GOIANIA,,,25.0,1.1,,
2024-10-06,;GOIANIA,,,27.0,0.1,,
2024-10-06,;GOIANIA,,,31.0,0.8,,
2024-10-06,;GOIANIA,,,43.0,0.0,,
2024-10-06,;GOIANIA,,,46.0,0.0,,
2024-10-06,;GOIANIA,,,47.0,0.3,,
2024-10-06,;GOIANIA,,,39.0,0.0,,
2024-10-06,;GOIANIA,,,45.0,0.8,,
2024-10-06,;GOIANIA,,,48.0,0.6,,
2024-10-06,;GOIANIA,,,47.0,0.4,,
2024-10-06,;GOIANIA,,,50.0,1.1,,
2024-10-06,;GOIANIA,,,45.0,0.6,,
2024-10-06,;GOIANIA,,,31.0,1.6,,
2024-10-06,;GOIANIA,,,26.0,1.9,,
2024-10-06,;GOIANIA,,,21.0,2.8,,
2024-10-06,;GOIANIA,,,17.0,2.1,,
2024-10-06,;GOIANIA,,,17.0,1.8,,
2024-10-06,;GOIANIA,,,12.0,2.0,,
2024-10-06,;GOIANIA,,,11.0,1.9,,
2024-10-06,;GOIANIA,,,10.0,1.8,,
2024-10-06,;GOIANIA,,,,1.8,,
2024-10-06,;GOIANIA,,,13.0,1.5,,
2024-10-06,;GOIANIA,,,15.0,0.5,,
2024-10-06,;GOIANIA,,,18.0,0.7,,
2024-10-06,;GOIANIA,,,22.0,1.3,,
2024-10-07,;GOIANIA,,,24.0,0.9,,
2024-10-07,;GOIANIA,,,30.0,0.8,,
2024-10-07,;GOIANIA,,,33.0,1.1,,
2024-10-07,;GOIANIA,,,40.0,0.2,,
2024-10-07,;GOIANIA,,,43.0,0.0,,
2024-10-07,;GOIANIA,,,49.0,0.2,,
2024-10-07,;GOIANIA,,,53.0,0.1,,
2024-10-07,;GOIANIA,,,57.0,0.0,,
2024-10-07,;GOIANIA,,,64.0,0.0,,
2024-10-07,;GOIANIA,,,65.0,0.6,,
2024-10-07,;GOIANIA,,,56.0,1.1,,
2024-10-07,;GOIANIA,,,47.0,1.8,,
2024-10-07,;GOIANIA,,,39.0,1.9,,
2024-10-07,;GOIANIA,,,31.0,1.7,,
2024-10-07,;GOIANIA,,,27.0,1.4,,
2024-10-07,;GOIANIA,,,24.0,2.2,,
2024-10-07,;GOIANIA,,,23.0,1.5,,
2024-10-07,;GOIANIA,,,21.0,1.6,,
2024-10-07,;GOIANIA,,,21.0,1.6,,
2024-10-07,;GOIANIA,,,20.0,1.5,,
2024-10-07,;GOIANIA,,,23.0,0.7,,
2024-10-07,;GOIANIA,,,26.0,1.0,,
2024-10-07,;GOIANIA,,,30.0,1.2,,
2024-10-07,;GOIANIA,,,37.0,1.5,,
2024-10-08,;GOIANIA,,,41.0,0.7,,
2024-10-08,;GOIANIA,,,44.0,0.5,,
2024-10-08,;GOIANIA,,,50.0,0.0,,
2024-10-08,;GOIANIA,,,53.0,0.1,,
2024-10-08,;GOIANIA,,,54.0,0.1,,
2024-10-08,;GOIANIA,,,56.0,0.0,,
2024-10-08,;GOIANIA,,,50.0,0.9,,
2024-10-08,;GOIANIA,,,57.0,0.0,,
2024-10-08,;GOIANIA,,,62.0,0.0,,
2024-10-08,;GOIANIA,,,62.0,0.0,,
2024-10-08,;GOIANIA,,,61.0,0.3,,
2024-10-08,;GOIANIA,,,54.0,1.6,,
2024-10-08,;GOIANIA,,,44.0,1.5,,
2024-10-08,;GOIANIA,,,32.0,1.7,,
2024-10-08,;GOIANIA,,,29.0,2.4,,
2024-10-08,;GOIANIA,,,28.0,2.0,,
2024-10-08,;GOIANIA,,,27.0,2.1,,
